2021-06-16 22:37:24,975 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:24,975 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:26,874 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:26,897 | INFO | cocotb | Step 23
2021-06-16 22:37:26,899 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:26,899 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:27,098 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:27,101 | INFO | cocotb | Step 24
2021-06-16 22:37:27,103 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:27,104 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:27,966 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:27,979 | INFO | cocotb | Step 25
2021-06-16 22:37:27,981 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:27,981 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:29,616 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:29,637 | INFO | cocotb | Step 26
2021-06-16 22:37:29,640 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:29,640 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:30,548 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:30,563 | INFO | cocotb | Step 27
2021-06-16 22:37:30,565 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:30,565 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:32,224 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:32,247 | INFO | cocotb | Step 28
2021-06-16 22:37:32,249 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:32,250 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:34,187 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:34,213 | INFO | cocotb | Step 29
2021-06-16 22:37:34,215 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:34,215 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:36,010 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:36,033 | INFO | cocotb | Step 30
2021-06-16 22:37:36,036 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:36,040 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:36,106 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:36,107 | INFO | cocotb | Step 31
2021-06-16 22:37:36,108 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:36,109 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:37,414 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:37,432 | INFO | cocotb | Step 32
2021-06-16 22:37:37,437 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:37,439 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:38,498 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:38,512 | INFO | cocotb | Step 33
2021-06-16 22:37:38,515 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:38,518 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:38,943 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:38,949 | INFO | cocotb | Step 34
2021-06-16 22:37:38,951 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:38,952 | INFO | cocotb | Waiting for actions from rl step 
