2021-06-16 19:34:07,695 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:07,705 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:08,960 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:08,979 | INFO | cocotb | Step 23
2021-06-16 19:34:08,988 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:08,990 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:10,553 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:10,579 | INFO | cocotb | Step 24
2021-06-16 19:34:10,584 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:10,587 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:12,345 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:12,373 | INFO | cocotb | Step 25
2021-06-16 19:34:12,376 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:12,377 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:12,840 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:12,847 | INFO | cocotb | Step 26
2021-06-16 19:34:12,852 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:12,853 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:14,708 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:14,735 | INFO | cocotb | Step 27
2021-06-16 19:34:14,743 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:14,746 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:16,370 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:16,394 | INFO | cocotb | Step 28
2021-06-16 19:34:16,402 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:16,404 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:16,428 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:16,431 | INFO | cocotb | Step 29
2021-06-16 19:34:16,437 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:16,442 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:16,975 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:16,984 | INFO | cocotb | Step 30
2021-06-16 19:34:16,988 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:16,990 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:17,948 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:17,965 | INFO | cocotb | Step 31
2021-06-16 19:34:17,973 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:17,974 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:20,039 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:20,071 | INFO | cocotb | Step 32
2021-06-16 19:34:20,074 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:20,076 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:20,573 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:20,580 | INFO | cocotb | Step 33
