2021-08-02 22:43:32,367 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:32,368 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:32,780 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:32,785 | INFO | cocotb | Step 23
2021-08-02 22:43:32,787 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:32,787 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:34,384 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:34,402 | INFO | cocotb | Step 24
2021-08-02 22:43:34,404 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:34,404 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:34,439 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:34,440 | INFO | cocotb | Step 25
2021-08-02 22:43:34,444 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:34,445 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:36,293 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:36,315 | INFO | cocotb | Step 26
2021-08-02 22:43:36,318 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:36,319 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:37,824 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:37,844 | INFO | cocotb | Step 27
2021-08-02 22:43:37,846 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:37,847 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:39,303 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:39,331 | INFO | cocotb | Step 28
2021-08-02 22:43:39,334 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:39,335 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:39,717 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:39,722 | INFO | cocotb | Step 29
2021-08-02 22:43:39,724 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:39,725 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:41,694 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:41,729 | INFO | cocotb | Step 30
2021-08-02 22:43:41,730 | INFO | cocotb | Waiting for rl step after rl reset 
