2021-08-02 21:20:43,580 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:43,583 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:47,023 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:47,072 | INFO | cocotb | Step 23
2021-08-02 21:20:47,083 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:47,087 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:49,327 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:49,355 | INFO | cocotb | Step 24
2021-08-02 21:20:49,363 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:49,366 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:50,425 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:50,437 | INFO | cocotb | Step 25
2021-08-02 21:20:50,444 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:50,446 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:51,140 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:51,152 | INFO | cocotb | Step 26
2021-08-02 21:20:51,156 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:51,158 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:53,688 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:53,715 | INFO | cocotb | Step 27
2021-08-02 21:20:53,728 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:53,731 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:57,213 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:57,275 | INFO | cocotb | Step 28
2021-08-02 21:20:57,279 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:57,281 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:20:57,990 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:57,998 | INFO | cocotb | Step 29
2021-08-02 21:20:58,002 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:58,003 | INFO | cocotb | Waiting for actions from rl step 
